movie,user_review,source
Heavy Traffic,"Animated and live action. Cartoonist's seedy urban world. Liberating, arrogant, crude, tough, vulgar and full of wit.",NYT
Minority Report,"This atmospheric thriller is a muscular and dense exercise of skill and verve. (Ironically, this exercise may be the most adult film that Steven Spielberg has made in some time; it's about the bloody blurring of passion and violence — a compassionate noir.) In 2054, a law enforcement unit called Precrime exists to stop murders before they begin; three Precogs — beings who float in a nutrient-rich fluid — can predict when a crime will be committed and know the identity of the perpetrator. When the unit's chief, John Anderton, is accused of a crime he hasn't yet committed, he's soon on the run. Tom Cruise does as much sprinting in this picture as he has before in his entire filmography. The fluid bursts of quick-cut images seen on the monitors also show that Mr. Spielberg isn't about to be shown up by those quick-fingered, compulsively exhibitionistic upstarts like David Fincher. — Elvis Mitchell",NYT
Funny Games,"“Funny Games,” Michael Haneke’s first English-language film, subjects its viewers to a long spectacle of wanton and gratuitous brutality.",NYT
Dark City,Amnesiac accused of murder. Relentlessly trippy but with gaping holes.,NYT
Dark City,"Standard, lurid crime melodrama. Young Heston, in screen debut, is neither.",NYT
Star Trek: First Contact,"While Federation battles Borgs, Picard travels back to 2063. Not worth the trip.",NYT
Winter Sleepers,"Thrillingly virtuosic cinematic flourishes lend a steady charge of adrenaline to this drama about the tangled destinies of well-to-do German slackers in a picture-perfect skiing village. Made just before the jet-propelled pop fantasy ''Run Lola Run'' put Tom Tykwer on the short list of major international filmmakers, ''Winter Sleepers'' conveys the spiritual malaise afflicting the generation now in its late 20's and 30's. But like ''Run Lola Run,'' the movie is also about how human destiny has everything to do with split-second timing &#151; Stephen Holden
",NYT
Sleepers,Assistant D.A. and reporter conspire to fix friends' trial. Phony Hell's Kitchen baloney.,NYT
Little Nikita,Far-fetched spy thriller. Most conspicious undercover agent in F.B.I. annals.,NYT
Lost Highway,"Musician and mysterious videotape, via Lynch. Eerie confusion.",NYT
Die Hard With A Vengeance,"Blood, bombings, car chases, you know.",NYT
Falling Down,"Defense engineer on armed rampage. Urban horror, all too familiar.",NYT
The Hunt for Red October,"Soviet sub captain with plan. O.K. suspense, but novel was better.",NYT
Blow-Up,"Hip photographer and one all too revealing shot. Antonioni's tingling mod-London teaser will hook you, if you let it.",NYT
Promising Young Woman,Carey Mulligan stars in this feminist revenge thriller that too often backs away from its potentially searing setup.,NYT
Upgrade,The futuristic world of “Upgrade” creates a perfect killing machine out of Logan Marshall-Green.,NYT
The Wailing,Na Hong-jin’s movie about demonic possession is an expansive and often excruciating horror film from South Korea.,NYT
Nocturnal Animals,"This thriller, directed by Tom Ford, toggles between the life of a wealthy woman (Amy Adams) and the events in a novel she is reading by her ex-husband.",NYT
John Wick: Chapter 2,"This sequel is an altogether more solemn affair than the original, weighed down by the philosophy that more is always more.",NYT
Predestination,"Based on a short story by the science-fiction writer Robert A. Heinlein, &#8220;Predestination&#8221; tracks the journeys of a Temporal Agent assigned to right wrongs before they happen.",NYT
The Hunger Games: Catching Fire,"“The Hunger Games: Catching Fire,” the second film in the series, brings back Jennifer Lawrence as Katniss Everdeen, but has a new director, Francis Lawrence.",NYT
